sp;nombre_campo;Hoja;Bosque;Th;Es;AF;UM;pf_hoja (g);ps_hoja (g);pf_madera (g);volf_madera (cm3);Indv
sp_1;1;1;seco;simple;0,161;1103,8;1103,8;0,3071;0,0774;5,4081;4,81;1
sp_1;1;2;seco;simple;0,127;917,9;917,9;0,2588;0,0592;5,4081;4,81;1
sp_1;1;3;seco;simple;0,142;1300,3;1300,3;0,2974;0,0715;5,4081;4,81;1
sp_1;1;4;seco;simple;0,151;1384,5;1384,5;0,3816;0,0759;5,4081;4,81;1
sp_1;1;5;seco;simple;0,123;1138,9;1138,9;0,2418;0,0438;5,4081;4,81;1
sp_1;2;1;seco;compuesta;0,196;1613,3;3,6;0,7924;0,1668;0,749;0,8;1
sp_1;2;2;seco;compuesta;0,135;2330,4;3,3;1,2854;0,3068;0,749;0,8;1
sp_1;2;3;seco;compuesta;0,133;1385,9;3,5;0,5634;0,1297;0,749;0,8;1
sp_1;2;4;seco;compuesta;0,118;1865,8;3,5;0,7565;0,1839;0,749;0,8;1
sp_1;2;5;seco;compuesta;0,11;1822,2;6,7;1,0885;0,2815;0,749;0,8;1
sp_1;3;1;seco;compuesta;0,253;10039,1;390,7;4,636;1,0005;2,4744;2,4;1
sp_1;3;2;seco;compuesta;0,407;6465,4;1699,1;2,6825;0,6209;2,4744;2,4;1
sp_1;3;3;seco;compuesta;0,259;5129,3;758,2;2,8445;0,691;2,4744;2,4;1
sp_1;3;4;seco;compuesta;0,24;7520,9;2043;2,9475;0,7495;2,4744;2,4;1
sp_1;3;5;seco;compuesta;0,257;5708,4;1255;2,2699;0,5373;2,4744;2,4;1
sp_1;4;1;seco;simple;0,234;958,4;958,4;0,3117;0,1533;4,8046;4,21;1
sp_1;4;2;seco;simple;0,177;931,8;931,8;0,2523;0,112;4,8046;4,21;1
sp_1;4;3;seco;simple;0,177;719,6;719,6;0,1852;0,0808;4,8046;4,21;1
sp_1;4;4;seco;simple;0,177;1045,4;1045,4;0,2798;0,1222;4,8046;4,21;1
sp_1;4;5;seco;simple;0,211;1190,9;1190,9;0,367;0,1731;4,8046;4,21;1
sp_2;6;1;seco;simple;0,195;442,3;442,3;0,126;0,0543;4,9288;4,19;2
sp_2;6;2;seco;simple;0,255;310,1;310,1;0,102;0,0466;4,9288;4,19;2
sp_2;6;3;seco;simple;0,212;421,7;421,7;0,1152;0,051;4,9288;4,19;2
sp_2;6;4;seco;simple;0,177;579;579;0,177;0,0787;4,9288;4,19;2
sp_2;6;5;seco;simple;0,222;402,1;402,1;0,1417;0,0661;4,9288;4,19;2
sp_2;7;1;seco;compuesta;0,218;2241,9;583,3;0,979;0,1813;7,085;6,21;1
sp_2;7;2;seco;compuesta;0,201;2991,6;971,8;1,0762;0,2173;7,085;6,21;1
sp_2;7;3;seco;compuesta;0,209;2045,9;553,3;1,0823;0,1574;7,085;6,21;1
sp_2;7;4;seco;compuesta;0,229;2506,1;591,2;0,8024;0,173;7,085;6,21;1
sp_2;7;5;seco;compuesta;0,216;2484,5;890,4;1,0151;0,1981;7,085;6,21;1
sp_2;8;1;seco;simple;0,172;1058,8;1058,8;0,3982;0,1314;2,8897;2,43;3
sp_2;8;2;seco;simple;0,215;706,4;706,4;0,2202;0,102;2,8897;2,43;3
sp_2;8;3;seco;simple;0,213;618,7;618,7;0,1988;0,0944;2,8897;2,43;3
